ManID,Age,Height(inches),Education,Dating Intentions,Drinking Habits,Personality Traits,Physical Attractiveness
M73,28,75.3,Master's,Casual,Socially,Adventurous and Intellectual,Boy-next-door charm
M74,29,72.4,Bachelor's,Open to Either,Socially,Energetic and Creative,"Down-to-earth looks, great personality"
M75,25,73.6,High School,Open to Either,Socially,Easygoing and Spontaneous,Cute in a nerdy way
M76,27,75.3,Master's,Long-term,Often,Charming and Ambitious,"Down-to-earth looks, great personality"
M77,26,71.6,Bachelor's,Open to Either,Never,Creative and Energetic,Rugged and handsome
M78,26,70.6,Professional (MD/JD),Open to Either,Often,Carefree and Spontaneous,"Down-to-earth looks, great personality"
M79,27,71.9,Bachelor's,Long-term,Socially,Adventurous and Spontaneous,"Down-to-earth looks, great personality"
M80,30,69.9,Associate's,Open to Either,Socially,Ambitious and Adventurous,Average-looking guy with a friendly vibe
M81,26,73.6,Bachelor's,Long-term,Socially,Spontaneous and Compassionate,"Down-to-earth looks, great personality"
M82,25,67.9,Bachelor's,Marriage-Oriented,Socially,Artistic and Spontaneous,Average-looking guy with a friendly vibe
M83,26,67.3,PhD,Casual,Often,Easygoing and Spontaneous,Boy-next-door charm
M84,28,67.7,Associate's,Open to Either,Socially,Artistic and Thoughtful,"Tall, athletic build, nice smile"
M85,26,66.9,High School,Casual,Socially,Ambitious and Carefree,Boy-next-door charm
M86,28,70.9,Master's,Long-term,Socially,Spontaneous and Athletic,Cute in a nerdy way
M87,28,69.4,Associate's,Marriage-Oriented,Socially,Easygoing and Compassionate,Boy-next-door charm
M88,27,74.1,PhD,Casual,Never,Athletic and Easygoing,"Down-to-earth looks, great personality"
M89,26,68.3,High School,Marriage-Oriented,Socially,Energetic and Artistic,Average-looking guy with a friendly vibe
M90,27,68.6,High School,Open to Either,Socially,Carefree and Easygoing,Average-looking guy with a friendly vibe
M91,25,74.5,Bachelor's,Marriage-Oriented,Socially,Thoughtful and Compassionate,Average-looking guy with a friendly vibe
M92,28,73.6,Bachelor's,Figuring it Out,Socially,Down-to-earth and Athletic,Average-looking guy with a friendly vibe
M93,28,71.6,Master's,Open to Either,Socially,Athletic and Carefree,Average-looking guy with a friendly vibe
M94,29,70.3,Bachelor's,Long-term,Socially,Artistic and Easygoing,"Tall, athletic build, nice smile"
M95,27,66.3,Associate's,Long-term,Often,Adventurous and Creative,Cute in a nerdy way
M96,28,71.5,Master's,Figuring it Out,Often,Creative and Ambitious,Average-looking guy with a friendly vibe
M97,25,71.6,Bachelor's,Casual,Never,Spontaneous and Down-to-earth,Average-looking guy with a friendly vibe
M98,27,68.5,Master's,Open to Either,Never,Spontaneous and Intellectual,Average-looking guy with a friendly vibe
M99,29,70.0,Bachelor's,Figuring it Out,Socially,Funny and Intellectual,"Down-to-earth looks, great personality"
M100,29,72.7,Bachelor's,Long-term,Socially,Spontaneous and Artistic,Average-looking guy with a friendly vibe
