WomanID,Age,Height(inches),Education,Dating Intentions,Drinking Habits,Personality Traits,Physical Attractiveness
W27,27,64.6,Bachelor's,Long-term,Never,Outgoing and Thoughtful,Pretty and down-to-earth
W28,26,64.1,PhD,Figuring it Out,Socially,Funny and Easygoing,Charming and sweet
W29,28,62.2,High School,Casual,Socially,Creative and Outgoing,Cute and bubbly personality
W30,26,62.7,PhD,Casual,Never,Compassionate and Easygoing,Cute and bubbly personality
W31,29,60.6,Bachelor's,Open to Either,Socially,Creative and Easygoing,Cute and bubbly personality
W32,27,61.6,Bachelor's,Open to Either,Socially,Spontaneous and Easygoing,Gorgeous and confident
W33,25,66.4,Bachelor's,Open to Either,Socially,Charming and Easygoing,Cute and bubbly personality
W34,29,65.6,Bachelor's,Open to Either,Socially,Thoughtful and Creative,Pretty and down-to-earth
W35,27,66.1,Master's,Figuring it Out,Socially,Ambitious and Outgoing,Charming and sweet
W36,30,64.8,Bachelor's,Open to Either,Never,Athletic and Carefree,Pretty and down-to-earth
W37,28,63.5,Professional (MD/JD),Open to Either,Socially,Energetic and Athletic,Charming and sweet
W38,28,65.5,Associate's,Open to Either,Often,Adventurous and Athletic,Charming with a warm smile
W39,26,67.2,Master's,Casual,Socially,Outgoing and Funny,Pretty and down-to-earth
W40,29,61.3,PhD,Open to Either,Socially,Easygoing and Carefree,Charming and sweet
W41,26,60.0,Master's,Figuring it Out,Often,Thoughtful and Easygoing,Charming and sweet
W42,25,66.6,Professional (MD/JD),Casual,Never,Charming and Creative,Charming and sweet
W43,29,69.1,Bachelor's,Long-term,Never,Athletic and Outgoing,Cute and bubbly personality
W44,26,62.1,Master's,Open to Either,Never,Spontaneous and Intellectual,Cute and bubbly personality
W45,28,67.7,Bachelor's,Casual,Socially,Down-to-earth and Artistic,Pretty and down-to-earth
W46,28,65.1,Bachelor's,Open to Either,Socially,Ambitious and Athletic,Cute and bubbly personality
W47,26,66.5,PhD,Figuring it Out,Socially,Easygoing and Down-to-earth,Cute and bubbly personality
W48,28,61.3,Professional (MD/JD),Open to Either,Socially,Carefree and Adventurous,Elegant and graceful
W49,26,65.5,Bachelor's,Open to Either,Never,Funny and Energetic,Charming and sweet
W50,25,68.5,High School,Figuring it Out,Socially,Funny and Easygoing,Charming with a warm smile
W51,29,65.3,Bachelor's,Figuring it Out,Socially,Intellectual and Down-to-earth,Charming and sweet
W52,25,63.6,Bachelor's,Open to Either,Socially,Intellectual and Compassionate,Cute and bubbly personality
W53,28,64.4,Professional (MD/JD),Long-term,Socially,Easygoing and Artistic,Cute and bubbly personality
W54,27,64.9,Associate's,Marriage-Oriented,Socially,Charming and Carefree,Charming and sweet
W55,27,62.7,High School,Marriage-Oriented,Socially,Athletic and Artistic,Elegant and graceful
W56,28,62.6,Master's,Casual,Socially,Intellectual and Energetic,Elegant and graceful
W57,26,67.7,Master's,Casual,Socially,Spontaneous and Outgoing,Pretty and down-to-earth
W58,25,63.7,Master's,Open to Either,Socially,Outgoing and Adventurous,Cute and bubbly personality
W59,27,60.8,PhD,Open to Either,Socially,Creative and Thoughtful,Charming and sweet
W60,29,64.9,Professional (MD/JD),Marriage-Oriented,Socially,Funny and Energetic,Elegant and graceful
W61,25,68.6,Bachelor's,Marriage-Oriented,Never,Down-to-earth and Intellectual,Cute and bubbly personality
W62,29,64.3,High School,Open to Either,Socially,Ambitious and Energetic,Cute and bubbly personality
W63,26,64.1,High School,Open to Either,Socially,Funny and Creative,Pretty and down-to-earth
W64,27,63.8,Bachelor's,Long-term,Never,Compassionate and Outgoing,Pretty and down-to-earth
W65,27,67.7,Bachelor's,Marriage-Oriented,Socially,Spontaneous and Funny,Charming and sweet
W66,28,62.0,Professional (MD/JD),Long-term,Never,Carefree and Charming,Elegant and graceful
W67,28,67.5,Bachelor's,Long-term,Never,Easygoing and Thoughtful,Cute and bubbly personality
W68,28,64.7,PhD,Long-term,Socially,Spontaneous and Down-to-earth,Elegant and graceful
W69,29,70.6,Bachelor's,Casual,Socially,Down-to-earth and Creative,Charming and sweet
W70,25,65.4,Bachelor's,Long-term,Socially,Compassionate and Thoughtful,Cute and bubbly personality
W71,27,66.4,Associate's,Marriage-Oriented,Socially,Thoughtful and Funny,Charming and sweet
W72,25,65.2,PhD,Open to Either,Never,Artistic and Ambitious,Elegant and graceful
W73,27,70.6,Bachelor's,Open to Either,Socially,Energetic and Compassionate,Cute and bubbly personality
W74,30,62.9,High School,Open to Either,Socially,Funny and Outgoing,Elegant and graceful
W75,28,62.0,Bachelor's,Open to Either,Never,Easygoing and Outgoing,Cute girl-next-door
W76,28,69.1,Bachelor's,Casual,Never,Intellectual and Energetic,Charming and sweet
W77,26,66.8,Bachelor's,Figuring it Out,Socially,Easygoing and Carefree,Charming and sweet
W78,26,64.9,Bachelor's,Figuring it Out,Never,Carefree and Outgoing,Cute and bubbly personality
W79,26,67.0,Master's,Casual,Socially,Thoughtful and Charming,Charming and sweet
W80,26,64.4,Professional (MD/JD),Open to Either,Socially,Carefree and Down-to-earth,Charming with a warm smile
W81,26,67.9,PhD,Figuring it Out,Socially,Easygoing and Adventurous,Cute and bubbly personality
W82,26,71.6,Bachelor's,Open to Either,Never,Intellectual and Spontaneous,Charming and sweet
W83,25,65.1,High School,Open to Either,Never,Adventurous and Thoughtful,Elegant and graceful
W84,27,61.3,Master's,Open to Either,Socially,Compassionate and Ambitious,Cute and bubbly personality
W85,28,68.0,Bachelor's,Open to Either,Socially,Adventurous and Down-to-earth,Cute and bubbly personality
W86,27,62.4,Master's,Open to Either,Socially,Thoughtful and Artistic,Cute and bubbly personality
W87,28,61.7,Bachelor's,Long-term,Never,Funny and Intellectual,Elegant and graceful
W88,27,63.2,Professional (MD/JD),Figuring it Out,Never,Athletic and Outgoing,Charming and sweet
W89,29,64.7,Associate's,Figuring it Out,Socially,Spontaneous and Ambitious,Cute and bubbly personality
W90,25,62.6,Bachelor's,Open to Either,Socially,Energetic and Creative,Charming and sweet
W91,28,68.3,Bachelor's,Long-term,Never,Thoughtful and Carefree,Charming and sweet
W92,27,62.5,Professional (MD/JD),Marriage-Oriented,Socially,Energetic and Carefree,Elegant and graceful
W93,27,64.3,PhD,Open to Either,Socially,Spontaneous and Intellectual,Cute and bubbly personality
W94,27,65.1,Professional (MD/JD),Casual,Never,Spontaneous and Intellectual,Cute and bubbly personality
W95,25,65.2,Bachelor's,Open to Either,Socially,Creative and Ambitious,Cute and bubbly personality
W96,28,67.0,Bachelor's,Open to Either,Socially,Carefree and Artistic,Pretty and down-to-earth
W97,28,67.0,Master's,Open to Either,Socially,Creative and Funny,Charming and sweet
W98,26,62.0,Bachelor's,Figuring it Out,Socially,Adventurous and Energetic,Charming and sweet
W99,27,68.3,High School,Casual,Socially,Down-to-earth and Thoughtful,Charming and sweet
W100,28,66.7,Master's,Long-term,Never,Intellectual and Artistic,Cute and bubbly personality
